file,page,question_no,question_text,is_geometry_candidate,expected_geometry_model,actual_geometry_model_types,actual_display_points_text,knowledge_range,dim2_level,status,issue_type,suggested_fix
立体图形.pdf,1,1,"下图中的1、2是两块形状不同的铁皮,将每块铁皮弯折后焊接成一个无盖的长方体铁桶(2号焊接成的是一个 底面为正方形的无盖长方体),比较两种铁皮焊接成铁桶后的装水情况( ). A、1号多 B、2号多 C、一样多 D、无法判断",True,展开图剪拼、立体图形公式,water_displacement、solid_formula,水中浸物,K5 / 高思导引五六年级,L5,suspicious,display_inaccurate,题目不是单纯直接公式题；若仅按基础公式展示，会误呈现结构负担。
立体图形.pdf,1,2,"如下图,将长方形绕轴旋转一周,得到的立体图形是 ,它的体积是 立方厘米.",True,滚动与旋转、立体图形公式,surface_three_view,三视图法求表面积,K5 / 高思导引五六年级,L5,needs_manual_review,ocr_or_visual_missing,题目强依赖图形，当前审计未运行多模态题块识别，需用题块图片复核。
立体图形.pdf,2,3,"修建一个圆柱形的沼气池,底面直径8米,深度是底面直径的 ,在池内的四壁和下底抹上水泥,抹水泥部分的面 积是多少平方米?",True,立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,2,4,"爸爸送给乐乐一个圆锥形的玩具(如图).这个玩具的体积是多少立方厘米?如果用一个长方体纸盒包装它,制作 纸盒至少需要多少平方厘米的纸板?(接口处忽略不计,π取3.14).",True,立体图形公式,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,当前只落到宽泛组合图形面积；需要人工确认是否有更具体的割补、比例、圆扇形或立体模型。
立体图形.pdf,3,5,"一个圆柱体的容器的底部放着一块正方体铅块,现在打开水⻰头向容器内注水(匀速注入)。15秒钟时水恰好没过 铅块的上表面,又过了1分半钟,水恰好注满了容器。若容器的高度是24厘米,铅块高度是6厘米,则容器底面积 是多少平方厘米?(列方程解答)",True,水位体积、立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,3,6,"圆柱和圆锥的体积之比是2:1,其中底面半径之比是2:3,则高之比是 .",True,立体图形公式、面积比例关系,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,3,7,"一根长方体木料,正好可以锯成两个同样的正方体,这时表面积增加了24平方厘米,这根长方体木料的表面积是 平方厘米.",True,立体切拼、立体图形公式,solid_formula,长方体和正方体的体积公式,K2 / 校内五年级,L2,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
立体图形.pdf,4,8,"一个圆锥的底面周长是25.12厘米,高是4厘米.从圆锥的顶点沿着高将它切成两半,表面积之和比原圆锥的表面 积增加了 平方分米.",True,立体切拼、立体图形公式,solid_formula,长方体和正方体的体积公式,K2 / 校内五年级,L2,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
立体图形.pdf,4,9,"大圆柱的高是小圆柱的2倍,大圆柱的侧面积是小圆柱侧面积的12倍,大圆柱的体积是小圆柱体积的 倍.",True,立体图形公式、面积比例关系,solid_formula,长方体和正方体的体积公式,K2 / 校内五年级,L2,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
立体图形.pdf,4,10,"将一个正方体涂成红色,再每面等距离切若干刀,得到若干个同样大小的小正方体.若在这些小正方体中,一面 涂有红色的共有294个,则两面涂有红色和三面涂有红色的总共有 个.",True,几何计数、立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,5,11,"(2024GA)将若干个体积相同的小正方体木块拼成一个大正方体,然后将大正方体的表面涂满红色.若将其拆开 后,只有一面涂成红色的小正方体木块的个数恰好是只有两面涂成红色的小正方体木块的个数的两倍,那么这个 大正方体共由多少个小正方体拼成.",True,几何计数、立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,5,12,"(2022 GDFZ)把长,宽,高分别为8厘米,7厘米,5厘米的长方体表面涂色,然后切成棱长为1厘米的小正方体, 三面涂色的小正方体比两面涂色的小正方体少 (填分数).",True,几何计数、立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,6,13,"(2024 THSS)如图,在一个正方体的两对侧面的中心各打通一个长方体的洞,在上下底面的中心打通一个圆柱形 的洞.已知正方体边长为10厘米,侧面上的洞口是边长为4厘米的正方形,上下底面的洞口是直径为4厘米的圆, 求此立体图形的表面积和体积.",True,立体切拼、立体图形公式,surface_three_view,三视图法求表面积,K5 / 高思导引五六年级,L5,needs_manual_review,ocr_or_visual_missing,题目强依赖图形，当前审计未运行多模态题块识别，需用题块图片复核。
立体图形.pdf,6,14,"(2024 GDFZ)有一圆柱形油罐底面的周长为12厘米,高为9厘米,一只老鼠从距底面1厘米的A处,爬行到对角的B 处吃⻝物,它爬行的最短路线为多少厘米?",True,展开图剪拼、立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,7,15,"(2024 BYSS)一个底面半径是6厘米的圆柱形玻璃器皿里装有一部分水,水中漫没着一个高9厘米的圆锥体铅锤. 当铅锤从水中取出后,水面下降了0.5厘米,这个圆锥体的底面积是多少平方厘米?(π取3.14)",True,水位体积、立体图形公式,solid_formula,长方体和正方体的体积公式,K2 / 校内五年级,L2,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
立体图形.pdf,7,16,"(2024 ZCGF)将若干个棱长为a 的小立方块摆成如图所示的几何体. (1)求该几何体的表面积. (2)依图中摆放方法类似,如果几何体摆放了24层,求该几何体的表面积.",True,三视图与表面积、立体切拼,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
立体图形.pdf,8,17,"(2024 HPJX)一块底面半径6cm,高12cm的圆锥形钢材,把它熔铸成一根横截面半径是1cm的圆柱形钢条,这根 钢条长多少厘米?",True,立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,8,18,"水平放置的正方体的六个面分别用“前面、后面、上面、下面、左面、右面”表示.如下图,是一个正方体的平面 展开图,若图中的“似”表示正方体的前面,“锦”表示右面,“程”表示下面,则“祝”、“你”、“前”分别表示正方体的 .",True,正方体相对面、展开图剪拼,surface_three_view,三视图法求表面积,K5 / 高思导引五六年级,L5,needs_manual_review,ocr_or_visual_missing,题目强依赖图形，当前审计未运行多模态题块识别，需用题块图片复核。
立体图形.pdf,9,19,"A、 B、 C、 D、 如图是一个小正方体的展开图,把展开图折叠成小正方体后,有“建”字一面的相对面上的字是( ). 和 谐 社 会",True,正方体相对面、展开图剪拼,surface_three_view,三视图法求表面积,K5 / 高思导引五六年级,L5,needs_manual_review,ocr_or_visual_missing,题目强依赖图形，当前审计未运行多模态题块识别，需用题块图片复核。
立体图形.pdf,9,20,"下面是一个正方体和它的展开图,四边APQC是正方体的一个截面,请把截面的四条线段AC、CQ、QP、PA画在展 开图相应的位置上.",True,展开图剪拼、立体切拼,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,10,21,A、 B、 C、 D、 如图所示的正方体的展开图是( ).,True,展开图剪拼、正方体相对面,surface_three_view,三视图法求表面积,K5 / 高思导引五六年级,L5,needs_manual_review,ocr_or_visual_missing,题目强依赖图形，当前审计未运行多模态题块识别，需用题块图片复核。
立体图形.pdf,10,22,"每个小正方体的棱长为2,求露在外面的面积.(在桌上,底面积不算)",True,三视图与表面积、立体图形公式,surface_three_view,三视图法求表面积,K5 / 高思导引五六年级,L5,needs_manual_review,ocr_or_visual_missing,题目强依赖图形，当前审计未运行多模态题块识别，需用题块图片复核。
立体图形.pdf,11,23,"一个密封的长方体水箱,从里面量长60厘米,宽30厘米,高30厘米.当水箱如下左图放置时,水深为20厘米,当 水箱如下右图放置时,水深 厘米.",True,水位体积、立体图形公式,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,11,24,"如图,转动长方形ABCD,生成两个不同的圆柱,图(1)的底面半径等于 cm,图(2)的体积等于 .(π取3)",True,滚动与旋转、立体图形公式,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
立体图形.pdf,11,25,"一个圆柱体和一个圆锥体,底面半径之比为1:2,高之比为2:3,它们的体积比为 .",True,立体图形公式、面积比例关系,,,,,wrong,dim2_false_negative,几何题未进入 dim2，应补充几何候选门禁或提升题块图像证据稳定性。
立体图形.pdf,12,26,"四个同样大小的圆柱拼成一个高为40厘米的大圆柱时,表面积减少了72平方厘米,原来小圆柱的体积是 立方厘米.",True,立体切拼、立体图形公式,solid_formula,长方体和正方体的体积公式,K2 / 校内五年级,L2,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,1,1,"如图,长方形AFEB和长方形FDCE拼成了长方形ABCD,长方形ABCD的长是20,宽是12,则它内部阴影部分的面 积是 .",True,割补法、组合图形面积,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,1,2,"如图,在梯形ABCD中,BC=2AD,E、F分别为BC、AB的中点。连接EF、FC。 若三角形EFC的面积为a,则梯形ABCD的面积是 。",True,一半模型、等高面积关系,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,wrong,model_overridden_by_broad_label,具体几何模型应作为 primary；composite_area_model 只应作为 supporting/background。
小升初几何模型.pdf,2,3,"(2023 ZCGF)如图,阴影部分的面积是 .",True,圆与扇形割补、割补法,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,2,4,"已知正方形ABCD面积为1,E、F、G分别是BC、DC 和AD边的中点,求阴影部分的面积是多少?",True,一半模型、等积变形,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,wrong,model_overridden_by_broad_label,具体几何模型应作为 primary；composite_area_model 只应作为 supporting/background。
小升初几何模型.pdf,3,5,"如图所示,A、B、C、D是边长为10的正八边形的对角线交点,那么四边形 ABCD 的面积为 .",True,割补法、几何计数,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,3,6,"(2023 JGF)如图,三角形ABC中, ,三角形COD的面积是4,三角形COE的面积是3,则三角形ABC的 面积是多少?",True,面积比例关系,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,4,7,"(2024 ZCGF)如图,长方形被分成了若干块,其中三块的面积标注在图上,阴影部分的面积是多少?(单位:平 方厘米)",True,面积比例关系、组合图形面积,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,4,8,"如图,求如图中阴影部分的面积(精确到0.01, 取3.14).",True,圆与扇形割补,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,suspicious,display_inaccurate,实际输出只命中泛化公式/组合图形，缺少更具体的几何子类型展示。
小升初几何模型.pdf,5,9,"三角形ABC 中, 是直角,已知 厘米, 厘米, 厘米, ,那么三角形 AMN (阴影部分)的面积是 平方厘米.",True,一半模型、面积比例关系,composite_area_model,一般的组合图形面积计算,K2 / 校内五年级,L3,wrong,model_overridden_by_broad_label,具体几何模型应作为 primary；composite_area_model 只应作为 supporting/background。
