grade,book_name,lecture_no,lecture_title,section_label,section_level,page_no,question_no,star_level,ocr_confidence,has_diagram,text_length_chars,text_length_band,topic_domain,structure_signals,quality_flags,knowledge_anchor_terms,dim5_reference_band,dim5_reference_sublevel,match_safety_level,dim4_reference_level_skeleton,dim4_auto_calibration_allowed,question_text,source_pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,16,1,★,0.9319,False,34,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：（1）28+72； (2)123+177； (3）220+780.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,16,2,★,0.9285,False,39,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：（1）15+21+25+19； (2）70+63+81+37+30+19.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,16,3,★,0.9609,False,55,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：(1)17+19+234+21+183+26；(2)(1+11+21+31)+(9+19+29+39).,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,17,4,★,0.9128,False,42,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：（1）35+121一35-21； (2)152-19-13+19+223-32.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,17,5,★,0.9237,False,50,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算： (1)20—(11—7); (2)20-(11+7); (3）20—11—7; (4) 2011+7.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,17,6,★★,0.8705,False,54,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：（1）25—（25—14)-（14-7)； (2）57—(50—28)+(44-28)—(57—26).,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,17,7,★★,0.9405,False,31,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：(1）199+99+9； (2) 9+98+397+247.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,17,8,★★,0.8947,False,28,short,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：(1）321-199； (2) 456—197-98.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,18,9,★,0.9118,False,72,medium,calculation,,,四则运算一|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,请大家先不要动笔，看能不能把下面的题目直接口算出来： （1）2580—2547； (2） 1596—1296； (3）365+97； (4) 365—97.,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
3,竞赛数学导引 三年级,1,四则运算一,兴趣篇,interest,18,10,★,0.9071,False,35,short,calculation,,,四则运算一|计算问题|calculation,4年级及以前高思导引拓展篇及以下难度,low,auto,L1,False,计算：（1）150一85一15； (2）1450—375—203-625,C:\Users\admin\Desktop\试卷分析project\参考教材\奥数\竟赛数学导引 三年级.pdf
